时间段,省份,城市,月份,最大温度,最小温度,降水量
1981年-2010年,湖南省,衡阳县,9,29.4,21.3,51.7
1981年-2010年,湖南省,衡阳县,10,24,16,69.4
1981年-2010年,湖南省,衡阳县,11,18.3,10.4,68.3
1981年-2010年,湖南省,衡阳县,12,12.4,4.9,44.2
1981年-2010年,湖南省,洪江,1,9.5,3,60.5
1981年-2010年,湖南省,洪江,2,11.8,4.9,72.9
1981年-2010年,湖南省,洪江,3,16.2,8.2,105.4
1981年-2010年,湖南省,洪江,4,22.7,13.7,154.5
1981年-2010年,湖南省,洪江,5,27.5,18.1,202.6
1981年-2010年,湖南省,洪江,6,30.3,21.8,235.3
1981年-2010年,湖南省,洪江,7,33.3,24,148.6
1981年-2010年,湖南省,洪江,8,33.3,23.5,110.9
1981年-2010年,湖南省,洪江,9,29.8,19.8,67.5
1981年-2010年,湖南省,洪江,10,23.7,14.8,93.6
1981年-2010年,湖南省,洪江,11,18.5,9.6,69.8
1981年-2010年,湖南省,洪江,12,12.5,4.5,41.2
1981年-2010年,湖南省,花垣,1,8.5,2.3,40.8
1981年-2010年,湖南省,花垣,2,10.5,4.1,50.6
1981年-2010年,湖南省,花垣,3,15,7.5,75.3
1981年-2010年,湖南省,花垣,4,21.4,12.9,141.5
1981年-2010年,湖南省,花垣,5,26,17.4,176.2
1981年-2010年,湖南省,花垣,6,28.8,20.9,205.7
1981年-2010年,湖南省,花垣,7,31.7,23.3,204
1981年-2010年,湖南省,花垣,8,31.8,22.7,152.5
1981年-2010年,湖南省,花垣,9,27.9,19.1,93.2
1981年-2010年,湖南省,花垣,10,21.5,14.1,112.3
1981年-2010年,湖南省,花垣,11,16.5,8.9,64.5
1981年-2010年,湖南省,花垣,12,11.1,4,33.4
1981年-2010年,湖南省,华容,1,8.3,1.9,55.5
1981年-2010年,湖南省,华容,2,10.7,4.2,75.2
1981年-2010年,湖南省,华容,3,15,7.9,103.9
1981年-2010年,湖南省,华容,4,21.7,13.9,157.4
1981年-2010年,湖南省,华容,5,26.8,18.9,161.3
1981年-2010年,湖南省,华容,6,29.9,22.7,193.9
1981年-2010年,湖南省,华容,7,32.9,25.8,172.6
1981年-2010年,湖南省,华容,8,32.2,25.1,131
1981年-2010年,湖南省,华容,9,28.2,20.6,61.7
1981年-2010年,湖南省,华容,10,22.8,15.1,82
1981年-2010年,湖南省,华容,11,17.1,9.3,73
1981年-2010年,湖南省,华容,12,11.1,4,37.1
1981年-2010年,湖南省,会同,1,9,2.8,57.1
1981年-2010年,湖南省,会同,2,11.2,4.8,68.2
1981年-2010年,湖南省,会同,3,15.7,8.2,91.1
1981年-2010年,湖南省,会同,4,22.2,13.7,140.8
1981年-2010年,湖南省,会同,5,26.9,17.9,193.3
1981年-2010年,湖南省,会同,6,29.8,21.6,208.8
1981年-2010年,湖南省,会同,7,32.6,23.7,138.4
1981年-2010年,湖南省,会同,8,32.6,23,127.1
1981年-2010年,湖南省,会同,9,29.1,19.5,69.1
1981年-2010年,湖南省,会同,10,23,14.6,79.6
1981年-2010年,湖南省,会同,11,17.9,9.4,67.2
1981年-2010年,湖南省,会同,12,12.2,4.3,41.7
1981年-2010年,湖南省,嘉禾,1,10.4,3.8,71.6
1981年-2010年,湖南省,嘉禾,2,12.6,6.1,103.5
1981年-2010年,湖南省,嘉禾,3,16.7,9.5,135.9
1981年-2010年,湖南省,嘉禾,4,23.3,15.3,179
1981年-2010年,湖南省,嘉禾,5,27.7,19.6,208.2
1981年-2010年,湖南省,嘉禾,6,30.9,23,186.6
1981年-2010年,湖南省,嘉禾,7,33.9,24.9,127.2
1981年-2010年,湖南省,嘉禾,8,33.2,24.2,134
1981年-2010年,湖南省,嘉禾,9,29.3,21,86.4
1981年-2010年,湖南省,嘉禾,10,24.5,15.8,69.8
1981年-2010年,湖南省,嘉禾,11,19.1,10.2,64.4
1981年-2010年,湖南省,嘉禾,12,13.6,5,41.7
1981年-2010年,湖南省,江华,1,11,4.9,74.9
1981年-2010年,湖南省,江华,2,13.7,7.4,99
1981年-2010年,湖南省,江华,3,17,10.5,145.6
1981年-2010年,湖南省,江华,4,23.3,15.8,194.7
1981年-2010年,湖南省,江华,5,27.6,19.8,228.6
1981年-2010年,湖南省,江华,6,30.4,23.1,220.7
1981年-2010年,湖南省,江华,7,33,24.8,140.6
1981年-2010年,湖南省,江华,8,32.7,24.3,130.5
1981年-2010年,湖南省,江华,9,29.7,21.4,58.6
1981年-2010年,湖南省,江华,10,25.2,16.8,63.9
1981年-2010年,湖南省,江华,11,19.9,11.5,64.3
1981年-2010年,湖南省,江华,12,14.3,6.7,44.4
1981年-2010年,湖南省,江永,1,11.3,4.2,74.6
1981年-2010年,湖南省,江永,2,13.1,6.5,102.7
1981年-2010年,湖南省,江永,3,16.7,9.9,142.3
1981年-2010年,湖南省,江永,4,22.9,15.4,204.5
1981年-2010年,湖南省,江永,5,27.3,19.5,254.7
1981年-2010年,湖南省,江永,6,30.2,22.8,239.5
1981年-2010年,湖南省,江永,7,32.7,24,135.6
1981年-2010年,湖南省,江永,8,32.8,23.6,126.4
1981年-2010年,湖南省,江永,9,29.7,20.8,64.3
1981年-2010年,湖南省,江永,10,25.2,15.9,61.5
1981年-2010年,湖南省,江永,11,19.8,10.3,62
1981年-2010年,湖南省,江永,12,14.5,5.2,44.2
1981年-2010年,湖南省,靖州,1,9,2.7,66.2
1981年-2010年,湖南省,靖州,2,11.3,4.9,78.2
1981年-2010年,湖南省,靖州,3,15.7,8.3,106.2
1981年-2010年,湖南省,靖州,4,22.1,13.8,143.4
1981年-2010年,湖南省,靖州,5,26.5,18,205.9
1981年-2010年,湖南省,靖州,6,29.4,21.6,214.6
1981年-2010年,湖南省,靖州,7,31.9,23.5,158.9
1981年-2010年,湖南省,靖州,8,32.1,22.7,121.7
1981年-2010年,湖南省,靖州,9,28.9,19.2,79.1
1981年-2010年,湖南省,靖州,10,22.9,14.4,84.2
1981年-2010年,湖南省,靖州,11,17.8,9.2,67.7
1981年-2010年,湖南省,靖州,12,12.3,4,46
1981年-2010年,湖南省,蓝山,1,10.3,3.8,77.3
1981年-2010年,湖南省,蓝山,2,12.3,5.9,109.1
1981年-2010年,湖南省,蓝山,3,16.5,9.6,147.1
1981年-2010年,湖南省,蓝山,4,23,15.4,188.5
1981年-2010年,湖南省,蓝山,5,27.2,19.6,219.8
1981年-2010年,湖南省,蓝山,6,30.3,22.9,221.5
1981年-2010年,湖南省,蓝山,7,32.9,24.8,147.8
1981年-2010年,湖南省,蓝山,8,32.1,23.9,169.3
1981年-2010年,湖南省,蓝山,9,28.3,20.6,107.4
1981年-2010年,湖南省,蓝山,10,24,15.7,75.3
1981年-2010年,湖南省,蓝山,11,18.9,10.4,72.2
1981年-2010年,湖南省,蓝山,12,13.6,5,46
1981年-2010年,湖南省,冷水江,1,8.6,2.2,67.9
1981年-2010年,湖南省,冷水江,2,10.6,4.3,83.8
1981年-2010年,湖南省,冷水江,3,15.1,7.7,118.4
1981年-2010年,湖南省,冷水江,4,21.5,13.3,176.2
1981年-2010年,湖南省,冷水江,5,26.5,17.7,189.5
1981年-2010年,湖南省,冷水江,6,29.5,21.5,235.1
1981年-2010年,湖南省,冷水江,7,32.8,24.1,153.9
1981年-2010年,湖南省,冷水江,8,32.2,23.4,142
1981年-2010年,湖南省,冷水江,9,28.2,19.5,77.6
1981年-2010年,湖南省,冷水江,10,22.8,14.4,84.2
1981年-2010年,湖南省,冷水江,11,17.6,9,71
1981年-2010年,湖南省,冷水江,12,12,3.9,46.3
1981年-2010年,湖南省,冷水滩,1,9.8,3.9,72.5
1981年-2010年,湖南省,冷水滩,2,11.8,6,100.5
1981年-2010年,湖南省,冷水滩,3,16.1,9.4,133.7
1981年-2010年,湖南省,冷水滩,4,22.7,15.2,155.1
1981年-2010年,湖南省,冷水滩,5,27.5,19.7,195.8
1981年-2010年,湖南省,冷水滩,6,30.7,23.3,181.4
1981年-2010年,湖南省,冷水滩,7,34.1,25.8,104.5
1981年-2010年,湖南省,冷水滩,8,33.5,25.1,115.1
1981年-2010年,湖南省,冷水滩,9,29.5,21.4,63.3
1981年-2010年,湖南省,冷水滩,10,24.3,16.1,65.7
1981年-2010年,湖南省,冷水滩,11,18.7,10.6,68.4
1981年-2010年,湖南省,冷水滩,12,13,5.2,46.1
1981年-2010年,湖南省,涟源,1,9.1,2.6,68.8
1981年-2010年,湖南省,涟源,2,11,4.6,87.3
1981年-2010年,湖南省,涟源,3,15.4,8.1,122.2
1981年-2010年,湖南省,涟源,4,21.9,13.8,176.6
1981年-2010年,湖南省,涟源,5,26.9,18.3,193
1981年-2010年,湖南省,涟源,6,29.9,22.1,219.3
1981年-2010年,湖南省,涟源,7,33.3,24.7,145.8
1981年-2010年,湖南省,涟源,8,32.7,24.1,127.7
1981年-2010年,湖南省,涟源,9,28.8,20.2,66.7
1981年-2010年,湖南省,涟源,10,23.3,14.9,84.9
1981年-2010年,湖南省,涟源,11,17.9,9.3,69.8
1981年-2010年,湖南省,涟源,12,12.2,4.1,47.6
1981年-2010年,湖南省,临湘,1,8.5,1.2,68
1981年-2010年,湖南省,临湘,2,10.8,3.6,83.3
1981年-2010年,湖南省,临湘,3,15.2,7.4,127
1981年-2010年,湖南省,临湘,4,21.9,13.4,201
1981年-2010年,湖南省,临湘,5,26.9,18.3,194.8
1981年-2010年,湖南省,临湘,6,29.9,22.2,226.3
1981年-2010年,湖南省,临湘,7,33.2,25.5,221
1981年-2010年,湖南省,临湘,8,32.3,24.5,158.6
1981年-2010年,湖南省,临湘,9,28.1,19.8,89.9
1981年-2010年,湖南省,临湘,10,22.8,14,91.2
1981年-2010年,湖南省,临湘,11,17.2,8,81
1981年-2010年,湖南省,临湘,12,11.3,2.9,40.4
1981年-2010年,湖南省,临澧,1,8.4,1.3,49.4
1981年-2010年,湖南省,临澧,2,10.6,3.4,68.6
1981年-2010年,湖南省,临澧,3,15.1,7.1,94.9
1981年-2010年,湖南省,临澧,4,21.7,13.1,143.3
1981年-2010年,湖南省,临澧,5,26.5,18.2,169.4
1981年-2010年,湖南省,临澧,6,29.5,22.1,187.3
1981年-2010年,湖南省,临澧,7,32.4,25,190.9
1981年-2010年,湖南省,临澧,8,31.8,24.4,117.9
1981年-2010年,湖南省,临澧,9,27.8,19.8,74.9
1981年-2010年,湖南省,临澧,10,22.4,14.2,81.1
1981年-2010年,湖南省,临澧,11,16.9,8.4,69.1
1981年-2010年,湖南省,临澧,12,11.2,3.1,31.9
1981年-2010年,湖南省,龙山,1,8.4,2.4,28.4
1981年-2010年,湖南省,龙山,2,10.3,4.1,40.6
1981年-2010年,湖南省,龙山,3,14.8,7.3,59.3
1981年-2010年,湖南省,龙山,4,21.3,12.6,120.2
1981年-2010年,湖南省,龙山,5,25.8,17.1,183.1
1981年-2010年,湖南省,龙山,6,28.5,20.6,208
1981年-2010年,湖南省,龙山,7,31.2,23,230.2
1981年-2010年,湖南省,龙山,8,31.6,22.5,159.2
1981年-2010年,湖南省,龙山,9,27.5,19,101.9
1981年-2010年,湖南省,龙山,10,21.3,14.1,97.7
1981年-2010年,湖南省,龙山,11,16.3,9.1,57.9
1981年-2010年,湖南省,龙山,12,10.8,4,21.6
1981年-2010年,湖南省,隆回,1,8.9,2.9,63.9
1981年-2010年,湖南省,隆回,2,10.8,4.9,82.4
1981年-2010年,湖南省,隆回,3,15.1,8.3,113.9
1981年-2010年,湖南省,隆回,4,21.6,14,141.7
1981年-2010年,湖南省,隆回,5,26.5,18.6,172.4
1981年-2010年,湖南省,隆回,6,29.4,22.2,210.2
1981年-2010年,湖南省,隆回,7,32.8,24.4,146.5
1981年-2010年,湖南省,隆回,8,32.3,24.1,129.9
1981年-2010年,湖南省,隆回,9,28.5,20.4,62.7
1981年-2010年,湖南省,隆回,10,22.9,15.2,83
1981年-2010年,湖南省,隆回,11,17.6,9.7,65.4
1981年-2010年,湖南省,隆回,12,11.9,4.5,40.8
1981年-2010年,湖南省,麻阳,1,8.8,2.9,47.1
1981年-2010年,湖南省,麻阳,2,11.1,4.9,57.5
1981年-2010年,湖南省,麻阳,3,15.5,8.2,84.5
1981年-2010年,湖南省,麻阳,4,21.9,13.7,139
1981年-2010年,湖南省,麻阳,5,26.7,18.3,175.1
1981年-2010年,湖南省,麻阳,6,29.7,22,214.5
1981年-2010年,湖南省,麻阳,7,33,24.6,181.7
1981年-2010年,湖南省,麻阳,8,33.2,24.1,94.4
1981年-2010年,湖南省,麻阳,9,29.3,20.3,65.3
1981年-2010年,湖南省,麻阳,10,22.9,15.1,98.8
1981年-2010年,湖南省,麻阳,11,17.5,9.8,63.6
1981年-2010年,湖南省,麻阳,12,11.7,4.7,35
1981年-2010年,湖南省,南县,1,8.1,1.8,55.6
1981年-2010年,湖南省,南县,2,10.5,4,71.1
1981年-2010年,湖南省,南县,3,14.8,7.7,107.2
1981年-2010年,湖南省,南县,4,21.3,13.8,158.3
1981年-2010年,湖南省,南县,5,26.4,18.8,153.5
1981年-2010年,湖南省,南县,6,29.4,22.5,173
1981年-2010年,湖南省,南县,7,32.3,25.4,161
1981年-2010年,湖南省,南县,8,31.7,24.8,118.6
1981年-2010年,湖南省,南县,9,27.7,20.3,65.2
1981年-2010年,湖南省,南县,10,22.5,14.9,82.8
1981年-2010年,湖南省,南县,11,16.8,9.2,74.9
1981年-2010年,湖南省,南县,12,10.9,3.9,35
1981年-2010年,湖南省,宁乡,1,8.2,2.1,74.1
1981年-2010年,湖南省,宁乡,2,10.4,4.3,94.6
1981年-2010年,湖南省,宁乡,3,14.8,7.9,146.9
1981年-2010年,湖南省,宁乡,4,21.5,13.9,197.7
1981年-2010年,湖南省,宁乡,5,26.6,18.6,189.3
1981年-2010年,湖南省,宁乡,6,29.7,22.4,212.8
1981年-2010年,湖南省,宁乡,7,33.3,25.5,138.7
1981年-2010年,湖南省,宁乡,8,32.4,24.8,114
1981年-2010年,湖南省,宁乡,9,27.9,20.3,77.1
1981年-2010年,湖南省,宁乡,10,22.5,14.8,76.1
1981年-2010年,湖南省,宁乡,11,17,9.1,80.3
1981年-2010年,湖南省,宁乡,12,11.2,3.9,49
1981年-2010年,湖南省,宁远,1,11,4.4,74.1
1981年-2010年,湖南省,宁远,2,13.1,6.6,106
1981年-2010年,湖南省,宁远,3,16.9,10,150.2
1981年-2010年,湖南省,宁远,4,23.5,15.5,195.9
1981年-2010年,湖南省,宁远,5,27.9,19.8,218.1
1981年-2010年,湖南省,宁远,6,31.2,23.1,194.4
1981年-2010年,湖南省,宁远,7,34,24.7,134.5
1981年-2010年,湖南省,宁远,8,33.4,24.3,139.4
1981年-2010年,湖南省,宁远,9,29.9,21.3,65.2
1981年-2010年,湖南省,宁远,10,25.2,16.3,64.9
1981年-2010年,湖南省,宁远,11,19.8,10.7,64.1
1981年-2010年,湖南省,宁远,12,14.4,5.5,43.7
1981年-2010年,湖南省,平江,1,9.2,1.7,73.6
1981年-2010年,湖南省,平江,2,11.7,3.9,90.8
1981年-2010年,湖南省,平江,3,15.7,7.3,142.3
1981年-2010年,湖南省,平江,4,22.5,13.1,193
1981年-2010年,湖南省,平江,5,27.4,17.7,192.4
1981年-2010年,湖南省,平江,6,30.3,21.6,245.6
1981年-2010年,湖南省,平江,7,33.6,24.3,178.1
1981年-2010年,湖南省,平江,8,33.2,23.7,136.6
1981年-2010年,湖南省,平江,9,29.3,19.7,77.2
1981年-2010年,湖南省,平江,10,24,14.2,71.1
1981年-2010年,湖南省,平江,11,18.2,8.1,79.6
1981年-2010年,湖南省,平江,12,12.4,2.9,44.5
1981年-2010年,湖南省,祁东,1,9.4,3.6,68.5
1981年-2010年,湖南省,祁东,2,11.4,5.5,88
1981年-2010年,湖南省,祁东,3,15.6,9,130.7
1981年-2010年,湖南省,祁东,4,22.3,14.7,145.4
1981年-2010年,湖南省,祁东,5,27.3,19.3,179.7
1981年-2010年,湖南省,祁东,6,30.4,23,181.9
1981年-2010年,湖南省,祁东,7,33.9,25.6,132
1981年-2010年,湖南省,祁东,8,33.2,25.1,112.9
1981年-2010年,湖南省,祁东,9,29.2,21.3,51.3
1981年-2010年,湖南省,祁东,10,24.1,16.1,63.6
1981年-2010年,湖南省,祁东,11,18.5,10.5,69.7
1981年-2010年,湖南省,祁东,12,12.8,5.1,44.3
1981年-2010年,湖南省,祁阳,1,9.8,4.1,74.7
1981年-2010年,湖南省,祁阳,2,11.8,6.1,98.8
1981年-2010年,湖南省,祁阳,3,16.1,9.6,139
1981年-2010年,湖南省,祁阳,4,22.8,15.4,151.3
1981年-2010年,湖南省,祁阳,5,27.7,20,190.8
1981年-2010年,湖南省,祁阳,6,31,23.6,198.3
1981年-2010年,湖南省,祁阳,7,34.4,26.2,120.9
1981年-2010年,湖南省,祁阳,8,33.6,25.6,133.6
1981年-2010年,湖南省,祁阳,9,29.6,21.9,63.6
1981年-2010年,湖南省,祁阳,10,24.4,16.6,64.3
1981年-2010年,湖南省,祁阳,11,18.8,11.1,68
1981年-2010年,湖南省,祁阳,12,13.1,5.7,45.4
1981年-2010年,湖南省,汝城,1,11.3,3.2,69.4
1981年-2010年,湖南省,汝城,2,12.8,5.5,102.6
1981年-2010年,湖南省,汝城,3,15.9,8.9,151
1981年-2010年,湖南省,汝城,4,21.4,14.3,183.9
1981年-2010年,湖南省,汝城,5,25.3,18,194.7
1981年-2010年,湖南省,汝城,6,27.9,21.1,219.5
1981年-2010年,湖南省,汝城,7,30.2,22.2,171
1981年-2010年,湖南省,汝城,8,30.2,21.7,174.6
1981年-2010年,湖南省,汝城,9,27.6,19,106.3
1981年-2010年,湖南省,汝城,10,24,14.3,64.5
1981年-2010年,湖南省,汝城,11,19,8.8,51.6
1981年-2010年,湖南省,汝城,12,14.3,3.8,38.5
1981年-2010年,湖南省,韶山,1,8.4,2.1,69
1981年-2010年,湖南省,韶山,2,10.7,4.3,94.5
1981年-2010年,湖南省,韶山,3,14.9,7.7,131.7
1981年-2010年,湖南省,韶山,4,21.6,13.6,184.3
1981年-2010年,湖南省,韶山,5,26.6,18.3,195
1981年-2010年,湖南省,韶山,6,29.8,22.1,221.4
1981年-2010年,湖南省,韶山,7,33.3,25.2,124.6
1981年-2010年,湖南省,韶山,8,32.6,24.4,105.7
1981年-2010年,湖南省,韶山,9,28.2,20,79.3
1981年-2010年,湖南省,韶山,10,23,14.7,78.1
1981年-2010年,湖南省,韶山,11,17.5,9,72.7
1981年-2010年,湖南省,韶山,12,11.6,3.7,47.9
1981年-2010年,湖南省,邵东,1,8.4,2.3,62.1
1981年-2010年,湖南省,邵东,2,10.4,4.3,81.5
1981年-2010年,湖南省,邵东,3,14.7,7.8,121.2
1981年-2010年,湖南省,邵东,4,21.2,13.7,149.5
1981年-2010年,湖南省,邵东,5,26.1,18.3,174.7
1981年-2010年,湖南省,邵东,6,29.1,22,209.5
1981年-2010年,湖南省,邵东,7,32.5,24.3,128.2
1981年-2010年,湖南省,邵东,8,32,23.8,119.3
1981年-2010年,湖南省,邵东,9,28,19.8,66.6
1981年-2010年,湖南省,邵东,10,22.6,14.6,75
1981年-2010年,湖南省,邵东,11,17.3,9,64.8
1981年-2010年,湖南省,邵东,12,11.6,3.6,41.9
1981年-2010年,湖南省,邵阳县,1,8.9,2.5,68.3
1981年-2010年,湖南省,邵阳县,2,10.8,4.5,84.5
1981年-2010年,湖南省,邵阳县,3,15.2,7.9,122.1
1981年-2010年,湖南省,邵阳县,4,21.8,13.6,142.6
1981年-2010年,湖南省,邵阳县,5,26.6,18.1,175.8
1981年-2010年,湖南省,邵阳县,6,29.6,21.8,191.6
1981年-2010年,湖南省,邵阳县,7,33,24,119.9
1981年-2010年,湖南省,邵阳县,8,32.5,23.5,121.8
1981年-2010年,湖南省,邵阳县,9,28.6,19.7,65.7
1981年-2010年,湖南省,邵阳县,10,23.1,14.6,84.1
1981年-2010年,湖南省,邵阳县,11,17.7,9.1,69.2
1981年-2010年,湖南省,邵阳县,12,12.1,3.9,44.9
1981年-2010年,湖南省,石门,1,8.6,2.1,43.7
1981年-2010年,湖南省,石门,2,10.8,4.1,59.3
1981年-2010年,湖南省,石门,3,15.4,7.7,89.3
1981年-2010年,湖南省,石门,4,22,13.3,142.5
1981年-2010年,湖南省,石门,5,26.7,18.1,172.6
1981年-2010年,湖南省,石门,6,29.6,21.7,208.1
1981年-2010年,湖南省,石门,7,32.5,24.5,222.7
1981年-2010年,湖南省,石门,8,32,24,147.9
1981年-2010年,湖南省,石门,9,28.1,20,77.2
1981年-2010年,湖南省,石门,10,22.4,14.7,85.9
1981年-2010年,湖南省,石门,11,16.9,9.2,65
1981年-2010年,湖南省,石门,12,11.3,4.1,29.5
1981年-2010年,湖南省,双峰,1,8.8,2.1,71.7
1981年-2010年,湖南省,双峰,2,10.9,4.3,91.7
1981年-2010年,湖南省,双峰,3,15.3,7.8,132
1981年-2010年,湖南省,双峰,4,22,13.7,170.6
1981年-2010年,湖南省,双峰,5,27,18.5,191.1
1981年-2010年,湖南省,双峰,6,30,22.2,209.5
1981年-2010年,湖南省,双峰,7,33.7,25,128.1
1981年-2010年,湖南省,双峰,8,33,24.4,115.3
1981年-2010年,湖南省,双峰,9,28.7,20.1,66.8
1981年-2010年,湖南省,双峰,10,23.3,14.7,85.2
1981年-2010年,湖南省,双峰,11,17.7,8.7,75.4
1981年-2010年,湖南省,双峰,12,12,3.3,46.5
1981年-2010年,湖南省,双牌,1,9.7,3.9,71.8
1981年-2010年,湖南省,双牌,2,11.9,6,105.3
1981年-2010年,湖南省,双牌,3,16.2,9.4,141.7
1981年-2010年,湖南省,双牌,4,22.7,14.9,169.2
1981年-2010年,湖南省,双牌,5,27.3,19.1,206.4
1981年-2010年,湖南省,双牌,6,30.6,22.7,202.5
1981年-2010年,湖南省,双牌,7,33.8,24.7,145.4
1981年-2010年,湖南省,双牌,8,33,23.9,129.2
1981年-2010年,湖南省,双牌,9,29,20.6,64.7
1981年-2010年,湖南省,双牌,10,23.9,15.7,63.1
1981年-2010年,湖南省,双牌,11,18.4,10.3,65.2
1981年-2010年,湖南省,双牌,12,12.8,5.2,45.7
1981年-2010年,湖南省,绥宁,1,10.1,3.4,63.8
1981年-2010年,湖南省,绥宁,2,12.2,5.3,76.1
1981年-2010年,湖南省,绥宁,3,16.6,8.6,109.5
1981年-2010年,湖南省,绥宁,4,22.9,13.7,149.5
1981年-2010年,湖南省,绥宁,5,27.4,17.7,203
1981年-2010年,湖南省,绥宁,6,30.2,21.3,205.9
1981年-2010年,湖南省,绥宁,7,32.9,22.8,153.1
1981年-2010年,湖南省,绥宁,8,32.7,22.6,147.4
1981年-2010年,湖南省,绥宁,9,29.3,19.5,71
1981年-2010年,湖南省,绥宁,10,23.9,14.9,85.2
1981年-2010年,湖南省,绥宁,11,18.9,9.8,69.3
1981年-2010年,湖南省,绥宁,12,13.5,4.8,42.7
1981年-2010年,湖南省,桃江,1,8.5,1.7,77.9
1981年-2010年,湖南省,桃江,2,10.7,3.9,97.1
1981年-2010年,湖南省,桃江,3,15.1,7.5,142.8
1981年-2010年,湖南省,桃江,4,21.7,13.4,196.1
1981年-2010年,湖南省,桃江,5,26.6,18.1,188.2
1981年-2010年,湖南省,桃江,6,29.5,21.9,222
1981年-2010年,湖南省,桃江,7,32.9,24.9,180.5
1981年-2010年,湖南省,桃江,8,32.1,24.1,140.8
1981年-2010年,湖南省,桃江,9,27.8,19.6,100.4
1981年-2010年,湖南省,桃江,10,22.5,14.1,99
1981年-2010年,湖南省,桃江,11,17.2,8.5,84.1
1981年-2010年,湖南省,桃江,12,11.5,3.3,51.2
1981年-2010年,湖南省,桃源,1,8.5,2,65.1
1981年-2010年,湖南省,桃源,2,10.6,4.1,81.3
1981年-2010年,湖南省,桃源,3,15.1,7.7,117
1981年-2010年,湖南省,桃源,4,21.7,13.6,168.8
1981年-2010年,湖南省,桃源,5,26.6,18.4,187.7
1981年-2010年,湖南省,桃源,6,29.7,22.1,203.3
1981年-2010年,湖南省,桃源,7,33,25.1,194.3
1981年-2010年,湖南省,桃源,8,32.1,24.5,132.4
1981年-2010年,湖南省,桃源,9,27.9,20.1,82.9
1981年-2010年,湖南省,桃源,10,22.2,14.7,96.7
1981年-2010年,湖南省,桃源,11,16.9,9.2,85.9
1981年-2010年,湖南省,桃源,12,11.3,4,42.3
1981年-2010年,湖南省,通道,1,9.4,2.9,68.2
1981年-2010年,湖南省,通道,2,11.5,5.1,79.8
1981年-2010年,湖南省,通道,3,15.7,8.5,113.7
1981年-2010年,湖南省,通道,4,21.9,13.8,151.6
1981年-2010年,湖南省,通道,5,26.2,17.8,226.2
1981年-2010年,湖南省,通道,6,29,21.3,263.7
1981年-2010年,湖南省,通道,7,31.1,23,180.5
1981年-2010年,湖南省,通道,8,31.5,22.3,129.7
1981年-2010年,湖南省,通道,9,28.7,18.9,70.9
1981年-2010年,湖南省,通道,10,23.1,14.3,84.5
1981年-2010年,湖南省,通道,11,18.2,9.1,65.4
1981年-2010年,湖南省,通道,12,12.9,4,45.4
1981年-2010年,湖南省,武冈,1,8.7,2.8,69.3
1981年-2010年,湖南省,武冈,2,10.6,4.8,84.7
1981年-2010年,湖南省,武冈,3,15,8.2,121.5
1981年-2010年,湖南省,武冈,4,21.7,13.8,144.8
1981年-2010年,湖南省,武冈,5,26.4,18.3,177.1
1981年-2010年,湖南省,武冈,6,29.2,21.7,204.1
1981年-2010年,湖南省,武冈,7,32.5,23.7,136.8
1981年-2010年,湖南省,武冈,8,31.8,23.2,136.9
1981年-2010年,湖南省,武冈,9,27.9,19.8,81.3
1981年-2010年,湖南省,武冈,10,22.5,14.7,88.7
1981年-2010年,湖南省,武冈,11,17.4,9.5,72
1981年-2010年,湖南省,武冈,12,11.9,4.4,48.1
1981年-2010年,湖南省,湘乡,1,8.5,2.4,71.6
1981年-2010年,湖南省,湘乡,2,10.8,4.7,94.6
1981年-2010年,湖南省,湘乡,3,15.1,8.2,130.6
1981年-2010年,湖南省,湘乡,4,21.8,14.1,170.3
1981年-2010年,湖南省,湘乡,5,26.8,18.8,191.8
1981年-2010年,湖南省,湘乡,6,29.9,22.5,209.3
1981年-2010年,湖南省,湘乡,7,33.5,25.5,136.7
1981年-2010年,湖南省,湘乡,8,32.8,24.8,113.8
1981年-2010年,湖南省,湘乡,9,28.3,20.6,71.8
1981年-2010年,湖南省,湘乡,10,23,15.2,75.4
1981年-2010年,湖南省,湘乡,11,17.5,9.5,73.8
1981年-2010年,湖南省,湘乡,12,11.6,4.1,47.7
1981年-2010年,湖南省,湘阴,1,8.1,2.1,73.2
1981年-2010年,湖南省,湘阴,2,10.5,4.4,90.8
1981年-2010年,湖南省,湘阴,3,14.8,8.1,142.5
1981年-2010年,湖南省,湘阴,4,21.4,14.1,188.7
1981年-2010年,湖南省,湘阴,5,26.5,19,181.2
1981年-2010年,湖南省,湘阴,6,29.6,22.7,205.5
1981年-2010年,湖南省,湘阴,7,33.2,26,156.1
1981年-2010年,湖南省,湘阴,8,32.3,25.2,133.4
1981年-2010年,湖南省,湘阴,9,27.8,20.8,72.6
1981年-2010年,湖南省,湘阴,10,22.4,15.2,82.4
1981年-2010年,湖南省,湘阴,11,16.9,9.2,78
1981年-2010年,湖南省,湘阴,12,11,3.9,49.5
1981年-2010年,湖南省,新化,1,8.8,2.4,69.5
1981年-2010年,湖南省,新化,2,10.9,4.5,83.9
1981年-2010年,湖南省,新化,3,15.4,8,120.4
1981年-2010年,湖南省,新化,4,21.9,13.6,176.2
1981年-2010年,湖南省,新化,5,26.8,18.2,189.8
1981年-2010年,湖南省,新化,6,29.7,21.9,233.4
1981年-2010年,湖南省,新化,7,33,24.6,169.1
1981年-2010年,湖南省,新化,8,32.5,23.8,146.6
1981年-2010年,湖南省,新化,9,28.6,19.9,78.9
